"Educational attainment for adults age 25 and older for the U.S., States, and counties, 1970–2021",,,,
16087,ID,30.0,40.4,17.5
17000,IL,25.4,28.3,36.2
17001,IL,34.9,31.8,25.7
17003,IL,37.7,36.2,12.3
17005,IL,32.7,34.9,21.2
17007,IL,32.5,29.8,24.8
17009,IL,38.3,29.4,13.0
17011,IL,35.5,34.7,20.4
17013,IL,40.6,34.8,17.3
17015,IL,36.2,31.8,19.9
17017,IL,41.8,24.9,18.2
17019,IL,21.4,27.9,45.5
17021,IL,41.8,29.4,18.2
17023,IL,37.3,32.4,23.4
17025,IL,39.2,34.4,14.8
17027,IL,32.7,35.5,23.1
17029,IL,32.3,33.9,25.7
17031,IL,22.4,24.8,40.7
17033,IL,28.9,40.1,17.3
17035,IL,39.0,34.8,19.2
17037,IL,25.3,34.2,33.2
17039,IL,42.0,30.2,20.9
17041,IL,34.2,30.5,19.1
17043,IL,18.1,24.7,50.7
17045,IL,38.5,31.2,18.2
17047,IL,34.4,44.4,13.3
17049,IL,32.8,37.2,23.1
17051,IL,41.0,32.8,12.6
17053,IL,35.2,34.8,21.7
17055,IL,32.7,39.1,17.7
17057,IL,37.0,34.3,18.3
17059,IL,39.2,37.9,11.0
17061,IL,44.6,29.6,16.5
17063,IL,31.7,35.3,26.6
17065,IL,32.3,37.1,18.7
17067,IL,34.4,34.5,24.5
17069,IL,34.2,37.2,13.4
17071,IL,42.9,31.0,18.6
17073,IL,34.4,33.9,23.9
17075,IL,38.5,34.0,15.9
17077,IL,22.9,34.6,34.2
17079,IL,37.6,34.7,19.8
17081,IL,31.7,40.0,18.2
17083,IL,37.3,32.7,22.4
17085,IL,35.7,31.4,25.1
17087,IL,32.6,33.2,17.3
17089,IL,22.6,27.5,36.0
17091,IL,34.8,34.0,20.7
17093,IL,24.6,33.7,35.3
17095,IL,35.2,34.1,19.7
17097,IL,20.1,24.3,46.3
17099,IL,35.5,36.6,18.5
17101,IL,36.6,34.4,13.3
17103,IL,34.6,36.3,18.6
17105,IL,41.9,31.4,16.8
17107,IL,35.6,33.6,21.1
17109,IL,32.9,29.9,32.2
17111,IL,26.0,32.4,35.2
17113,IL,23.3,27.1,45.6
17115,IL,35.4,32.9,23.5
17117,IL,40.5,32.2,18.5
17119,IL,29.0,35.5,28.5
17121,IL,34.9,37.8,16.2
17123,IL,39.2,35.2,18.0
17125,IL,40.9,33.0,16.7
17127,IL,34.7,39.5,13.1
17129,IL,33.8,37.5,24.4
17131,IL,38.5,35.3,18.7
17133,IL,25.6,32.7,37.1
17135,IL,39.9,30.1,17.9
17137,IL,38.9,29.5,21.1
17139,IL,33.1,33.6,19.8
17141,IL,34.1,35.3,21.6
17143,IL,27.4,31.8,32.9
17145,IL,37.0,34.9,11.6
17147,IL,32.1,30.6,31.1
17149,IL,41.3,32.3,17.6
17151,IL,43.2,31.5,14.5
17153,IL,40.0,34.6,14.7
17155,IL,39.7,33.7,20.0
17157,IL,38.4,33.5,13.2
17159,IL,31.2,41.7,19.4
17161,IL,29.6,35.8,23.6
17163,IL,27.3,35.3,29.6
17165,IL,29.2,39.5,19.2
17167,IL,27.6,31.2,34.0
17169,IL,38.6,36.5,17.4
17171,IL,44.4,27.5,22.1
17173,IL,42.8,33.0,17.4
17175,IL,39.1,31.0,19.5
17177,IL,33.6,37.0,21.3
17179,IL,30.4,35.2,27.7
17181,IL,35.3,31.2,22.7
17183,IL,41.1,32.9,16.3
17185,IL,33.2,40.2,18.5
17187,IL,33.8,31.7,22.4
17189,IL,33.1,36.4,22.6
17191,IL,34.8,37.4,15.2
17193,IL,34.1,39.4,16.2
17195,IL,37.9,34.6,18.8
17197,IL,26.0,30.1,35.4
17199,IL,29.8,36.2,26.6
17201,IL,31.3,33.6,23.3
17203,IL,28.1,31.3,34.9
18000,IN,33.0,28.9,27.8
18001,IN,44.3,27.5,14.4
18003,IN,28.2,32.0,29.9
18005,IN,30.4,26.0,35.2
18007,IN,40.2,30.7,17.5
18009,IN,49.5,27.2,14.2
18011,IN,19.0,26.0,49.4
18013,IN,34.2,31.1,27.7
18015,IN,42.4,32.0,14.7
18017,IN,41.3,29.7,13.6
18019,IN,35.0,33.1,22.8
18021,IN,41.6,33.3,16.3
18023,IN,45.4,26.5,14.9
18025,IN,46.9,24.2,11.7
18027,IN,33.7,29.5,13.7
18029,IN,38.2,27.6,24.9
18031,IN,44.5,26.5,20.8
18033,IN,43.5,28.8,18.7
18035,IN,33.6,31.4,25.4
18037,IN,37.8,27.5,24.6
18039,IN,34.6,27.3,20.0
18041,IN,44.4,25.5,15.1
18043,IN,30.8,30.2,30.3
18045,IN,43.8,31.0,13.0
18047,IN,40.3,26.6,21.4
18049,IN,39.8,31.5,16.3
18051,IN,41.8,31.5,18.2
18053,IN,37.7,31.0,19.6
18055,IN,39.3,33.3,15.7
18057,IN,14.4,22.3,60.5
18059,IN,30.1,30.6,32.6
18061,IN,42.1,29.4,18.8
18063,IN,26.6,29.1,39.5
18065,IN,42.7,30.5,17.5
18067,IN,37.6,32.5,20.8
18069,IN,42.2,29.7,20.9
18071,IN,41.6,30.0,17.5
18073,IN,44.9,29.1,17.4
18075,IN,47.1,28.0,12.9
18077,IN,40.8,30.3,18.4
18079,IN,42.5,30.9,15.4
18081,IN,31.0,29.0,32.8
18083,IN,35.4,34.6,18.6
18085,IN,34.9,28.6,24.3
18087,IN,28.7,20.5,10.4
18089,IN,35.4,30.7,23.7
18091,IN,39.8,29.9,19.7
18093,IN,38.0,31.1,19.8
18095,IN,39.9,30.9,19.0
18097,IN,27.5,26.6,32.8
18099,IN,37.1,27.9,20.5
18101,IN,43.1,29.8,14.4
18103,IN,42.4,29.3,14.7
18105,IN,21.0,25.5,47.4
18107,IN,41.9,28.3,20.2
18109,IN,39.9,29.4,19.1
18111,IN,45.6,30.5,11.7
18113,IN,39.4,27.1,16.3
18115,IN,42.6,31.0,15.7
18117,IN,44.7,26.8,13.3
18119,IN,44.0,27.9,14.0
18121,IN,38.8,33.1,13.0
18123,IN,45.8,29.4,15.6
18125,IN,45.1,28.9,14.2
18127,IN,34.4,29.4,30.3
18129,IN,36.5,32.0,24.2
18131,IN,45.5,28.6,13.1
18133,IN,41.1,30.3,17.7
18135,IN,41.7,31.2,16.2
18137,IN,41.0,29.9,19.2
18139,IN,45.4,28.0,16.3
18141,IN,29.6,29.3,32.1
18143,IN,41.6,26.1,13.3
18145,IN,44.0,26.4,18.7
18147,IN,41.2,31.0,19.2
18149,IN,44.8,28.9,11.9
18151,IN,39.6,29.8,22.9
18153,IN,42.5,32.3,12.6
18155,IN,51.3,24.5,9.2
18157,IN,26.9,25.1,40.6
18159,IN,40.7,25.1,24.8
18161,IN,39.2,29.1,19.9
18163,IN,31.6,32.1,27.2
18165,IN,41.2,33.7,16.5
18167,IN,33.6,31.0,25.1
18169,IN,42.5,27.5,19.9
18171,IN,43.1,32.4,18.0
18173,IN,28.3,33.5,32.8
18175,IN,42.4,31.4,12.8
18177,IN,36.7,32.0,19.4
18179,IN,42.9,32.2,18.0
18181,IN,39.8,31.7,17.6
18183,IN,36.6,32.4,23.1
19000,IA,30.6,32.5,29.7
19001,IA,40.4,34.9,19.5
19003,IA,36.0,36.3,22.3
19005,IA,41.0,32.1,17.3
19007,IA,35.5,36.4,18.9
19009,IA,36.1,34.2,21.5
19011,IA,36.9,35.6,21.6
19013,IA,29.7,32.9,29.5
19015,IA,32.2,36.3,25.6
19017,IA,30.4,32.4,33.7
19019,IA,35.1,37.3,21.4
19021,IA,31.1,26.6,21.7
19023,IA,36.6,38.5,19.1
19025,IA,38.2,34.9,20.9
19027,IA,34.2,37.9,22.1
19029,IA,33.8,34.5,21.0
19031,IA,38.7,35.0,21.8
19033,IA,33.4,36.2,23.9
19035,IA,40.1,32.0,21.4
19037,IA,44.8,30.2,18.4
19039,IA,41.5,28.3,14.7
19041,IA,33.8,37.8,23.9
19043,IA,43.6,30.0,17.4
19045,IA,37.6,33.1,21.3
19047,IA,36.6,27.9,16.8
19049,IA,18.5,27.0,50.4
19051,IA,28.9,31.4,19.1
19053,IA,37.7,25.8,26.4
19055,IA,43.2,30.2,18.8
19057,IA,32.2,38.8,21.9
19059,IA,27.0,37.0,31.5
19061,IA,32.4,29.3,32.1
19063,IA,34.7,38.7,16.3
19065,IA,42.5,32.8,17.2
19067,IA,38.9,33.6,20.3
19069,IA,35.7,37.1,18.0
19071,IA,36.6,40.1,18.0
19073,IA,37.1,35.5,20.5
19075,IA,33.1,36.4,25.9
19077,IA,35.4,38.3,20.6
19079,IA,33.0,36.2,24.2
19081,IA,36.5,35.0,20.3
19083,IA,35.8,36.9,19.7
19085,IA,38.9,34.0,19.3
19087,IA,36.2,34.0,21.7
19089,IA,40.6,32.8,18.2
19091,IA,37.7,37.2,18.3
19093,IA,39.7,33.6,19.3
19095,IA,36.6,34.9,23.1
19097,IA,42.0,32.2,19.3
19099,IA,39.8,35.2,19.1
19101,IA,24.9,29.6,38.3
19103,IA,15.4,26.8,54.1
19105,IA,38.5,34.5,21.7
19107,IA,42.8,33.1,17.0
19109,IA,35.0,39.7,18.9
19111,IA,37.2,36.9,19.2
19113,IA,25.9,34.6,34.3
19115,IA,37.3,31.9,15.3
19117,IA,43.1,34.8,14.9
19119,IA,40.5,33.9,19.3
19121,IA,33.6,38.1,24.8
19123,IA,39.6,31.4,21.0
19125,IA,33.5,29.6,30.9
19127,IA,34.5,30.0,20.7
19129,IA,31.4,35.2,28.7
19131,IA,34.8,36.5,21.5
19133,IA,39.8,38.0,15.0
19135,IA,40.5,33.2,19.8
19137,IA,34.7,38.8,18.7
19139,IA,34.9,31.8,22.9
19141,IA,36.5,33.8,21.3
19143,IA,37.7,33.8,17.0
19145,IA,38.8,36.0,17.3
19147,IA,29.4,40.7,23.3
19149,IA,35.3,35.3,23.8
19151,IA,36.5,35.9,17.1
19153,IA,24.9,29.6,38.0
19155,IA,32.5,34.6,22.9
19157,IA,38.5,26.0,29.6
19159,IA,39.6,33.3,20.3
19161,IA,36.3,39.2,18.1
19163,IA,27.9,32.5,33.6
19165,IA,34.9,36.6,22.0
19167,IA,29.3,31.7,31.1
19169,IA,16.8,29.0,51.1
19171,IA,41.1,33.1,16.5
19173,IA,38.6,35.0,17.2
19175,IA,33.0,35.4,22.7
19177,IA,38.2,33.3,16.3
19179,IA,36.6,32.3,19.1
19181,IA,29.5,34.0,32.3
19183,IA,36.9,31.4,23.6
19185,IA,42.3,32.1,15.2
19187,IA,34.9,36.7,19.9
19189,IA,33.0,37.3,24.1
19191,IA,33.9,31.4,30.6
19193,IA,32.6,31.8,23.3
19195,IA,35.8,37.3,20.0
19197,IA,36.7,36.6,19.4
20000,KS,25.7,31.5,34.4
20001,KS,36.2,37.8,18.7
20003,KS,37.7,31.5,16.4
20005,KS,42.4,29.4,22.1
20007,KS,34.4,32.2,24.7
20009,KS,30.8,37.0,20.9
20011,KS,31.5,35.0,23.5
20013,KS,38.0,36.4,19.1
20015,KS,26.6,34.9,32.3
20017,KS,32.0,32.2,29.3
20019,KS,33.5,39.4,15.2
20021,KS,32.0,36.7,19.6
20023,KS,33.5,37.0,21.6
20025,KS,29.2,37.8,27.3
20027,KS,36.1,32.3,25.8
20029,KS,31.7,41.0,22.3
20031,KS,32.5,38.6,22.7
20033,KS,32.2,45.4,18.1
20035,KS,30.0,37.8,24.1
20037,KS,29.0,34.0,30.1
20039,KS,33.2,37.9,22.3
20041,KS,31.6,37.3,24.5
20043,KS,34.3,38.1,18.7
20045,KS,18.7,25.2,52.3
20047,KS,33.8,35.4,18.2
20049,KS,37.8,31.5,18.0
20051,KS,27.5,29.1,37.4
20053,KS,34.5,36.4,20.8
20055,KS,24.0,30.1,17.7
20057,KS,24.1,30.5,20.5
20059,KS,37.5,32.2,23.0
20061,KS,24.8,45.2,23.9
20063,KS,39.3,35.4,19.6
20065,KS,35.5,31.9,26.4
20067,KS,23.7,31.3,24.1
20069,KS,22.9,31.6,23.1
20071,KS,23.5,35.0,29.3
20073,KS,36.5,38.2,17.6
20075,KS,39.9,21.9,19.4
20077,KS,38.2,34.1,16.8
20079,KS,23.2,36.5,32.0
20081,KS,23.2,33.9,15.3
20083,KS,24.4,36.8,30.2
20085,KS,40.1,33.0,21.2
20087,KS,39.2,31.1,24.6
20089,KS,37.2,35.8,19.7
20091,KS,13.8,26.2,56.3
20093,KS,35.7,22.8,19.2
20095,KS,31.4,37.5,22.2
20097,KS,29.0,34.5,24.6
20099,KS,31.2,36.6,22.3
20101,KS,28.4,43.5,23.8
20103,KS,28.0,30.3,34.6
20105,KS,26.2,44.6,24.7
20107,KS,38.7,34.5,20.5
20109,KS,31.1,41.0,20.4
20111,KS,31.6,30.0,26.7
20113,KS,26.0,36.0,29.7
20115,KS,30.1,34.2,27.6
20117,KS,39.3,33.3,18.8
20119,KS,23.0,39.2,22.4
20121,KS,30.1,32.4,32.8
20123,KS,25.7,43.2,25.9
20125,KS,32.0,37.6,20.5
20127,KS,35.3,32.2,25.3
20129,KS,35.9,34.6,17.2
20131,KS,37.3,28.0,28.1
20133,KS,30.5,40.0,20.5
20135,KS,33.1,36.4,21.9
20137,KS,30.8,36.2,23.3
20139,KS,39.0,31.3,21.4
20141,KS,34.2,38.4,21.5
20143,KS,33.2,40.5,21.2
20145,KS,33.0,38.3,19.5
20147,KS,34.4,35.1,21.5
20149,KS,29.3,29.7,36.7
20151,KS,27.1,33.7,32.1
20153,KS,27.6,46.2,21.7
20155,KS,30.1,40.5,20.7
20157,KS,31.4,37.7,26.1
20159,KS,31.1,39.3,22.5
20161,KS,16.1,31.9,48.2
20163,KS,33.2,36.6,20.7
20165,KS,32.1,39.9,20.4
20167,KS,28.6,42.9,21.6
20169,KS,29.5,36.0,27.8
20171,KS,27.7,32.3,23.9
20173,KS,26.3,32.0,31.2
20175,KS,31.0,28.1,11.3
20177,KS,30.4,30.6,32.3
20179,KS,33.9,39.1,22.8
20181,KS,30.9,37.9,21.4
20183,KS,39.3,35.5,21.4
20185,KS,30.9,34.9,26.4
20187,KS,38.2,28.4,15.0
20189,KS,26.9,34.8,12.2
20191,KS,34.9,32.9,25.4
20193,KS,23.2,44.8,24.1
20195,KS,29.4,41.5,23.8
20197,KS,37.3,34.9,24.3
20199,KS,28.0,39.3,28.3
20201,KS,41.2,30.1,22.4
20203,KS,31.6,37.0,18.0
20205,KS,37.4,34.9,18.4
20207,KS,38.4,31.8,20.4
20209,KS,32.3,29.6,19.3
21000,KY,32.8,29.2,25.7
21001,KY,39.4,26.8,18.9
21003,KY,41.6,26.9,17.4
21005,KY,34.2,31.6,25.3
21007,KY,39.2,33.9,16.1
21009,KY,43.1,24.0,17.2
21011,KY,43.9,23.2,14.9
21013,KY,42.1,23.3,9.9
21015,KY,28.6,30.6,34.0
21017,KY,34.3,28.4,23.1
21019,KY,32.7,35.0,20.6
21021,KY,35.2,27.8,26.7
21023,KY,46.9,28.9,13.0
21025,KY,38.4,22.2,16.9
21027,KY,44.3,27.6,14.2
21029,KY,40.8,32.6,16.1
21031,KY,45.9,21.1,13.8
21033,KY,40.9,28.9,17.1
21035,KY,31.4,27.2,31.6
21037,KY,26.7,27.7,38.7
21039,KY,47.7,25.1,12.5
21041,KY,42.3,31.9,6.6
21043,KY,39.9,26.7,12.9
21045,KY,40.5,22.4,11.6
21047,KY,31.6,36.2,18.3
21049,KY,36.4,32.8,20.1
21051,KY,37.8,19.0,11.5
21053,KY,38.4,25.8,13.8
21055,KY,44.0,28.8,12.9
21057,KY,45.8,20.4,13.4
21059,KY,33.8,32.1,25.0
21061,KY,45.8,24.9,10.2
21063,KY,46.3,19.9,8.9
21065,KY,42.9,20.8,10.6
21067,KY,18.9,27.9,45.6
21069,KY,40.4,25.3,15.7
21071,KY,39.0,25.5,12.6
21073,KY,30.3,30.7,29.6
21075,KY,39.1,27.2,13.7
21077,KY,49.6,25.0,10.4
21079,KY,38.1,26.9,20.5
21081,KY,45.3,28.0,15.0
21083,KY,40.7,30.8,18.0
21085,KY,45.5,26.3,11.4
21087,KY,40.8,26.1,13.9
21089,KY,36.5,36.9,16.8
21091,KY,42.7,27.5,15.3
21093,KY,30.6,38.8,22.6
21095,KY,35.8,29.6,9.5
21097,KY,40.5,27.1,17.5
21099,KY,42.9,24.5,10.6
21101,KY,38.0,32.4,18.0
21103,KY,41.8,28.7,13.8
21105,KY,39.0,25.3,24.4
21107,KY,39.9,31.3,16.5
21109,KY,44.1,18.2,9.1
21111,KY,26.3,29.9,35.0
21113,KY,31.8,28.3,29.6
21115,KY,39.6,27.4,16.1
21117,KY,27.4,28.6,35.5
21119,KY,29.5,24.9,16.0
21121,KY,39.0,21.8,15.3
21123,KY,33.8,30.1,16.9
21125,KY,39.5,27.5,15.4
21127,KY,42.6,21.7,12.2
21129,KY,40.9,24.2,7.9
21131,KY,45.8,28.5,9.2
21133,KY,35.6,31.1,10.3
21135,KY,43.8,24.5,8.8
21137,KY,44.0,24.7,13.7
21139,KY,41.7,30.1,14.6
21141,KY,43.7,26.9,16.9
21143,KY,44.8,30.1,14.3
21145,KY,32.2,33.5,26.7
21147,KY,41.5,29.4,7.0
21149,KY,38.9,33.7,17.4
21151,KY,27.1,29.1,33.4
21153,KY,37.7,23.5,10.9
21155,KY,44.2,27.0,14.1
21157,KY,35.6,34.8,21.4
21159,KY,35.6,26.3,11.8
21161,KY,30.9,33.0,22.2
21163,KY,39.7,32.3,17.3
21165,KY,43.2,22.4,11.1
21167,KY,34.8,33.2,20.1
21169,KY,43.0,24.7,13.8
21171,KY,41.3,24.7,14.8
21173,KY,41.5,27.2,16.7
21175,KY,39.8,21.8,15.3
21177,KY,42.8,28.6,12.0
21179,KY,36.4,34.8,20.8
21181,KY,46.3,25.6,9.2
21183,KY,39.3,27.4,14.6
21185,KY,19.8,29.7,44.4
21187,KY,41.4,23.3,18.1
21189,KY,41.4,15.6,11.5
21191,KY,43.0,24.5,16.0
21193,KY,32.6,31.2,14.0
21195,KY,39.5,23.7,15.7
21197,KY,43.3,22.2,16.5
21199,KY,34.3,31.9,17.2
21201,KY,40.2,30.7,13.7
21203,KY,43.5,24.8,12.1
21205,KY,34.5,26.6,25.8
21207,KY,37.5,28.2,16.2
21209,KY,30.2,33.6,29.7
21211,KY,28.8,29.6,28.8
21213,KY,44.5,31.1,13.8
21215,KY,38.3,31.4,22.4
21217,KY,36.6,28.7,21.8
21219,KY,39.7,24.7,14.7
21221,KY,32.5,35.3,21.0
21223,KY,45.7,23.5,14.7
21225,KY,46.4,34.7,10.1
21227,KY,27.1,28.4,32.3
21229,KY,41.5,24.5,20.7
21231,KY,38.9,22.4,15.9
21233,KY,47.4,27.8,10.0
21235,KY,39.2,23.6,19.7
21237,KY,33.5,25.9,6.6
21239,KY,26.7,25.5,39.6
22000,LA,33.1,27.6,25.5
22001,LA,42.9,23.7,13.6
22003,LA,43.3,24.3,12.1
22005,LA,29.1,30.9,28.7
22007,LA,43.3,22.7,10.8
22009,LA,35.7,28.5,12.3
22011,LA,39.0,30.2,18.3
22013,LA,48.0,26.1,12.5
22015,LA,29.5,34.1,26.8
22017,LA,32.1,30.5,24.0
22019,LA,34.4,30.0,23.8
22021,LA,47.3,17.3,12.1
22023,LA,36.8,32.1,17.1
22025,LA,37.9,19.5,15.5
22027,LA,46.0,19.7,12.2
22029,LA,43.1,22.5,15.5
22031,LA,41.7,26.3,14.4
22033,LA,25.8,27.2,37.5
22035,LA,35.7,19.7,10.2
22037,LA,40.4,25.0,15.9
22039,LA,39.5,22.9,12.6
22041,LA,40.9,21.1,14.8
22043,LA,41.7,28.0,11.5
22045,LA,43.5,25.5,14.5
22047,LA,39.7,24.5,15.7
22049,LA,44.3,26.6,12.4
22051,LA,29.2,28.9,28.7
22053,LA,43.2,23.2,16.5
22055,LA,29.7,25.6,33.9
22057,LA,41.4,22.1,17.3
22059,LA,39.5,24.6,17.0
22061,LA,27.2,24.0,37.6
22063,LA,37.1,30.0,20.3
22065,LA,32.6,27.7,15.1
22067,LA,41.1,27.5,11.5
22069,LA,38.0,27.4,21.6
22071,LA,22.4,26.6,39.1
22073,LA,33.3,30.0,24.8
22075,LA,35.4,32.3,17.1
22077,LA,37.1,28.8,15.2
22079,LA,37.6,27.9,21.5
22081,LA,51.2,18.0,12.4
22083,LA,39.7,23.6,15.4
22085,LA,47.5,25.8,12.8
22087,LA,30.8,36.0,14.7
22089,LA,32.2,30.1,28.4
22091,LA,43.4,21.6,12.4
22093,LA,39.1,28.6,18.3
22095,LA,38.7,31.4,16.0
22097,LA,38.9,24.7,14.7
22099,LA,46.5,22.4,14.9
22101,LA,46.5,22.4,12.2
22103,LA,24.6,30.3,36.4
22105,LA,36.0,25.2,21.2
22107,LA,43.7,20.7,13.4
22109,LA,38.1,26.5,16.5
22111,LA,46.3,23.6,16.6
22113,LA,41.1,24.6,17.4
22115,LA,39.6,29.9,18.6
22117,LA,44.8,26.2,10.7
22119,LA,43.0,28.1,14.4
22121,LA,37.0,29.2,20.9
22123,LA,47.9,21.4,11.4
22125,LA,35.2,24.6,22.8
22127,LA,46.5,21.2,14.0
23000,ME,30.9,29.2,33.6
23001,ME,35.6,33.3,22.9
23003,ME,38.0,32.0,20.3
23005,ME,20.4,25.5,49.8
23007,ME,36.6,28.9,28.1
23009,ME,31.2,28.5,35.5
23011,ME,34.4,29.7,29.7
23013,ME,31.7,25.6,36.3
23015,ME,32.0,24.4,37.6
23017,ME,40.5,30.2,21.1
23019,ME,32.8,30.7,30.0
23021,ME,39.1,32.0,20.3
23023,ME,28.5,27.3,38.2
23025,ME,41.4,29.7,19.9
23027,ME,32.4,27.8,32.9
23029,ME,37.7,29.5,24.0
23031,ME,29.9,31.8,32.8
24000,MD,23.9,25.3,41.6
24001,MD,40.8,29.3,20.2
24003,MD,22.5,28.0,42.9
24005,MD,24.8,26.4,40.4
24009,MD,28.8,30.0,35.7
24011,MD,39.3,26.5,19.0
24013,MD,28.2,27.6,38.0
24015,MD,35.5,29.7,25.7
24017,MD,29.7,32.8,31.1
24019,MD,39.6,28.0,19.9
24021,MD,23.9,26.8,42.3
24023,MD,41.8,23.9,24.7
24025,MD,26.2,29.9,37.7
24027,MD,12.9,19.0,63.6
24029,MD,31.7,21.4,37.5
24031,MD,13.1,18.3,59.8
24033,MD,25.4,26.9,34.9
24035,MD,27.8,28.1,37.0
24037,MD,31.3,27.4,33.0
24039,MD,36.5,29.7,17.0
24041,MD,23.0,27.7,41.0
24043,MD,36.2,29.2,22.6
24045,MD,31.7,27.2,28.8
24047,MD,30.0,32.2,30.6
24510,MD,28.1,24.0,34.2
25000,MA,23.2,22.8,45.2
25001,MA,22.2,28.6,44.9
25003,MA,29.2,27.8,36.1
25005,MA,30.2,26.4,29.3
25007,MA,25.4,24.4,46.1
25009,MA,24.4,24.2,41.2
25011,MA,28.0,26.8,38.8
25013,MA,30.4,27.5,28.2
25015,MA,21.6,23.5,50.2
25017,MA,18.1,17.7,57.8
25019,MA,18.2,27.3,50.7
25021,MA,18.1,20.6,55.5
25023,MA,26.8,26.9,39.3
25025,MA,20.8,18.0,48.1
25027,MA,26.9,26.7,38.1
26000,MI,28.5,32.5,30.6
26001,MI,37.9,33.1,19.4
26003,MI,46.5,27.1,17.9
26005,MI,36.6,31.0,23.7
26007,MI,36.2,39.6,16.8
26009,MI,31.1,32.1,30.0
26011,MI,38.6,35.9,14.3
26013,MI,40.6,35.8,14.7
26015,MI,35.8,33.6,24.1
26017,MI,34.0,36.8,20.3
26019,MI,29.0,31.2,32.8
26021,MI,28.0,33.8,29.0
26023,MI,41.5,32.0,15.4
26025,MI,35.6,33.6,21.8
26027,MI,34.2,34.0,20.9
26029,MI,27.8,33.7,32.5
26031,MI,35.8,32.2,22.7
26033,MI,33.4,35.3,23.4
26035,MI,39.4,35.1,12.1
26037,MI,25.6,37.1,32.6
